filename,entitydictionary
1101242766213.txt,"{'City Council': 1, 'Jim Sarducci': 1, 'John Panni': 1, 'Washington': 1, 'Alderwood': 1, 'Alderwood County': 2, 'Alderwood City Council': 1, 'Tom Seeger': 1}"
1101163456898.txt,"{'United States': 1, 'Alderwood High School': 1, 'Yakima Valley': 1, 'Alderwood': 3, 'Mexico': 1}"
1201243446505.txt,"{'Centers for Disease Control and Prevention o Public Response Hotline': 1, 'CDC': 2}"
1101162504873.txt,"{'Alderwood School District': 2, 'Alderwood': 1, 'Yakima County': 1, 'John Panni': 1, 'Ted Mana': 1, 'John Hughes': 1, 'Alderwood Police Department': 1, 'Seattle': 1}"
1101163375354.txt,"{'Alderwood School District': 2, 'Melissa Browning': 1, 'Alderwood High School': 1, 'Alderwood School Board': 1, 'Martinez': 1, 'Alderwood': 1}"
1101162708267.txt,"{'Grizzlies': 1, 'Alderwood': 2}"
1101242635978.txt,"{'Mel Sacher': 1, 'Spokane': 1, 'U.S.': 2, 'Washington': 2, 'George Nethercutt': 1, 'United States': 1, 'Patty Murray': 2, 'U.S. Senate': 1, 'Murray': 7, 'Alderwood': 2}"
1101241536631.txt,{'Colombia': 3}
1101242678228.txt,"{'Mel Sacher': 1, 'Mabton': 1, 'Alderwood Planning Commission': 2, 'Alderwood': 5, 'Alderwood County': 1, 'Bruce Rinz': 1, 'Alderwood City Council': 1}"
1101242406742.txt,"{'Rockford': 10, 'John Panni': 1, 'Tom Rockford': 1, 'Don Stiles': 1, 'John Torch': 1, 'Rex Luthor': 1, 'Martinez': 3, 'Raul Martinez': 1, 'Alderwood': 2, 'Alderwood City Council': 1}"
1101242518821.txt,"{'Grandview': 1, 'Yakima': 1, 'Washington': 2, 'Alderwood Valley': 1, 'Alderwood': 10, 'Alderwood County': 2, 'Lower Valley': 1, 'Alderwood City Council': 1}"
1101243424483.txt,"{'John Torch': 1, 'John Panni': 1, 'Ted Mana': 1, 'Alex de la Cruz': 1, 'Alderwood Police Department': 2, 'Bruce Rinz': 1, 'Alderwood City Council': 1}"
1101163975356.txt,"{'America': 1, 'Ellie Olmsen': 1, 'Ruben Capria': 1}"
1101163061865.txt,"{'Prosser': 1, 'Benton City': 1, 'Ellie Olmsen': 1, 'Alderwood': 1, 'George Prado': 1}"
1101163941115.txt,"{'Albert Smith': 1, 'America': 1, 'Alderwood': 1}"
1101163287775.txt,"{'Mabton': 3, 'Grandview': 1, 'Bickleton': 1, 'Alderwood High School': 1, 'Amy Kilian': 1, 'Stacey Gorski': 1}"
1101162949366.txt,"{'Alderwood High School': 2, 'John Panni': 1, 'Alderwood': 3}"
1101163941126.txt,{'Albert Smith': 1}
1101162539420.txt,"{'Alderwood High School': 1, 'Alderwood': 2}"
1101242766682.txt,"{'Mabton': 6, 'Calif.': 1, 'Benton City': 1, 'Wapato': 1, 'Yakima': 3, 'Washington': 1, 'Zillah': 1, 'Alderwood': 14, 'Prosser': 7, 'Grandview': 1, 'Seattle': 1}"
1101242656634.txt,"{'Jamie': 1, 'Washington': 1, 'Alderwood': 1, 'Alderwood County': 3}"
1101163162978.txt,"{'Katy': 1, 'Calif.': 1, 'Grandview': 15, 'Wapato': 1, 'Yakima': 4, 'Yakima Valley': 1, 'United States': 2, 'Alderwood': 13, 'Granger': 4, 'Prosser': 3, 'Alderwood High School': 1}"
1101162490186.txt,"{'Ellensburg': 1, 'Joe Schwartz': 1, 'Alderwood High School': 1, 'John Panni': 1, 'Grizzlies': 4, 'Alderwood': 2}"
1101163887201.txt,"{'Bruce Chandler': 1, 'Lower Valley': 2, 'Yakima County': 1, 'Gary Locke': 1, 'Washington': 1, 'Alderwood': 1, 'Dan Newhouse': 1}"
1101163941158.txt,"{'Albert Smith': 1, 'Alderwood': 1}"
1101242612790.txt,"{'John Kerry': 1, 'Washington': 1, 'Alderwood Valley': 1, 'Kerry': 2, 'Alderwood': 3}"
1101242587149.txt,"{'Ellie Olmsen': 1, 'Grandview': 10, 'Chante Bottineau': 1, 'Tonhya Wysong': 1, 'Jessica Gonzalez': 1, 'Valentina Solis': 1, 'Danelle Cowan': 1, 'Kealey Johnston': 1, 'LaFever': 7, 'John LaFever': 1, 'Angie Cabrera': 1, 'Mari Cornejo': 1}"
1201243446502.txt,{'Nelson': 1}
1101162143775.txt,"{'Ellie Olmsen': 1, 'Alderwood': 1}"
1101242453320.txt,"{'Bruce Chandler': 1, 'Kepcha': 1, 'Dino Rossi': 1, 'Congress': 1, 'Terry Bergeson': 1, 'Yakima': 1, 'John Panni': 1, 'Washington': 4, 'Patty Murray': 1, 'Murray': 7, 'Christine Gregoire': 1, 'U.S. Senate': 1, 'George Nethercutt': 1, 'Alderwood County': 7, 'U.S.': 1, 'Dan Newhouse': 1}"
1101163941120.txt,"{'Albert Smith': 1, 'Alderwood': 1}"
1101242535666.txt,"{'Gary Locke': 2, 'Washington': 4}"
1101162522889.txt,"{'Bush': 3, 'Seattle': 1, 'Washington': 2, 'WASL': 1}"
1101163356500.txt,"{'FDA': 4, 'John Panni': 1, 'Alderwood': 1, 'Rex Luthor': 1}"
1101162524451.txt,"{'Mel Sacher': 1, 'Spokane': 1, 'Washington': 3, 'Patty Murray': 2, 'George Nethercutt': 1, 'United States': 1, 'Bush': 2, 'U.S. Senate': 1, 'Murray': 2, 'Alderwood': 2}"
1101162469467.txt,"{'Mel Sacher': 1, 'Mabton': 1, 'Lower Valley': 1, 'Yakima': 1, 'Zillah': 1, 'Alderwood': 1}"
1101163941160.txt,{'Albert Smith': 1}
1101242496946.txt,"{'Grandview': 4, 'Richland': 6, 'Grandview High School': 1, 'Alderwood': 1, 'Prosser': 2, 'Spokane': 1, 'Seattle': 1}"
1101163340400.txt,"{'Mabton': 2, 'Grandview': 2, 'Yakima': 2, 'Zillah': 1, 'Alderwood': 16, 'Prosser': 1, 'Alderwood High School': 1}"
1101242430883.txt,"{'Alderwood School District': 1, 'Alderwood School Board': 1, 'Tom Rockford': 1, 'John Panni': 1, 'Aaron Bones': 1, 'Rex Luthor': 1, 'Alderwood City Council': 1}"
1101163613791.txt,"{'Alderwood School District': 1, 'Tom Denchel Ford': 1, 'Yakima': 2, 'Alderwood School Board': 1, 'Aaron Bones': 1, 'Alderwood': 1, 'Dave Plesha': 1}"
1101162605515.txt,"{'Washington': 4, 'WASL': 1}"
1101162688110.txt,"{'Wash.': 1, 'Washington': 1, 'Ellie Olmsen': 1, 'Alderwood': 3}"
1101162863959.txt,"{'Spokane': 2, 'Washington': 8, 'Yakima Valley': 1}"
1101163376276.txt,{'Ellie Olmsen': 1}
1101242700338.txt,{'Washington': 1}
1101162881756.txt,"{'Prosser': 1, 'U.S.': 1, 'Seattle': 3, 'Washington': 1}"
1101163235119.txt,"{'Seattle': 1, 'Alderwood High School': 1, 'Alderwood School Board': 1, 'Ellie Olmsen': 1, 'Alderwood': 1}"
1101163390822.txt,"{'Lynnwood': 3, 'Calif.': 1, 'Spokane': 1, 'Mexico': 3, 'Yakima Valley': 1, 'Yakima': 4, 'Washington': 2, 'Prosser': 4, 'Jesus': 2, 'Martinez': 2, 'Zillah': 1, 'Alderwood': 13, 'Granger': 2, 'Grandview': 3, 'Seattle': 3}"
1101243381717.txt,"{'Lower Valley': 1, 'Alderwood Inc.': 3, 'Alderwood': 2}"
1101243160012.txt,"{'Mabton': 2, 'Calif.': 1, 'Grandview': 9, 'Yakima': 2, 'Alderwood': 7, 'Alderwood County': 1, 'Seattle': 3}"
1101162862771.txt,"{'Alderwood School District': 1, 'Alderwood High School': 1}"
1101163941138.txt,{'Albert Smith': 1}
1101242586149.txt,"{'Mabton': 5, 'Calif.': 2, 'Grandview': 7, 'Mexico': 3, 'Wapato': 1, 'Yakima': 2, 'Alderwood': 7, 'Spokane': 5}"
1101163941133.txt,{'Albert Smith': 1}
1101163941128.txt,{'Albert Smith': 1}
1101162786926.txt,"{'U.S.': 1, 'Bob Story': 1, 'Washington': 4, 'Ella Mae Lochner': 1, 'Alice Benedetti': 1, 'Alderwood': 1, 'Phyllis Morris': 1, 'America': 1, 'Alderwood High School': 2}"
1101163941166.txt,{'Albert Smith': 1}
1101163044539.txt,"{'Mabton': 1, 'Grandview': 8, 'Richland': 1, 'Mexico': 2, 'Yakima': 1, 'Yakima Valley': 1, 'Alderwood': 17, 'Spokane': 4, 'Seattle': 2}"
1101242542555.txt,"{'Bush': 4, 'Dino Rossi': 1, 'Alderwood County': 1}"
1101162607702.txt,"{'Mabton': 8, 'Washington': 1}"
1101163288338.txt,{'Denny Blaine Building': 1}
1101242898417.txt,"{'Lynnwood': 3, 'Washington': 1}"
1101162642891.txt,"{'Rockford': 8, 'Tom Rockford': 1, 'Monson': 5, 'Alderwood': 6}"
1101162906435.txt,{}
1101243052340.txt,"{'Yakima': 5, 'Grandview': 1, 'Alderwood High School': 1, 'Alderwood': 9, 'Jesus': 4}"
1101242636712.txt,"{'Alderwood Republican Club': 1, 'GOP': 1, 'Alderwood': 1}"
1101163443760.txt,"{'Dennis Birr': 1, 'Alderwood High School': 1, 'John Panni': 2}"
1101243074777.txt,"{'Lynnwood': 1, 'Calif.': 1, 'Benton City': 2, 'Mexico': 1, 'United States': 1, 'Alderwood': 9}"
1101242473945.txt,"{'Mel Sacher': 1, 'Steve Evans': 1, 'Ellensburg': 1, 'Rex Luthor': 1, 'Ted Mana': 1, 'Alderwood': 3}"
1101162488967.txt,"{'Alderwood High School': 1, 'John Panni': 1, 'Alderwood': 3}"
1101242456221.txt,{'Ellie Olmsen': 1}
1101242657134.txt,"{'Alderwood Planning Commission': 1, 'Jennie Angel': 2, 'Alderwood City Council': 4, 'Theresa Hancock': 1, 'Rex Luthor': 1}"
1101242721291.txt,"{'Iraq': 3, 'Jesus': 1}"
1101163834618.txt,"{'Washington': 1, 'Alderwood': 1, 'George Prado': 1}"
1101163889404.txt,"{'Ted Mana': 1, 'Jamie Smart': 1, 'Alderwood': 2}"
1101163941118.txt,{'Albert Smith': 1}
1101242451711.txt,"{'City Council': 1, 'Don Stiles': 1, 'Alderwood': 3, 'Rex Luthor': 1}"
1101162506170.txt,"{'Rockford': 2, 'John Kerry': 6, 'Kerry': 11, 'Congress': 2, 'Yakima County': 1, 'Tom Rockford': 1, 'John Torch': 1, 'Bush': 1, 'Alderwood': 4, 'Grandview': 1, 'America': 1, 'Monson': 1}"
1101162470951.txt,"{'Alderwood High School': 1, 'Grizzlies': 6, 'Alderwood': 4, 'Ellensburg': 1}"
1101162982898.txt,"{'China': 1, 'Alderwood': 2}"
1101162965507.txt,"{'Mel Sacher': 1, 'Grandview': 2, 'Alderwood': 1}"
1101163001554.txt,"{'Yakima County': 2, 'Yakima Valley': 1, 'Washington': 2, 'Alderwood': 1, 'Granger': 7, 'Jennie Angel': 1}"
1101163342119.txt,"{'Alderwood High School': 1, 'Grandview': 1, 'Alderwood': 1}"
1201243446612.txt,"{'Washington': 1, 'Alderwood': 2}"
1101162540358.txt,"{'Benton City': 1, 'Wapato': 1, 'Yakima Valley': 2, 'Ellie Olmsen': 1, 'Alderwood': 1, 'Granger': 1}"
1101163002539.txt,"{'Alderwood School District': 1, 'Plesha': 6, 'Aaron Bones': 1, 'Alderwood': 1, 'Yakima County': 1}"
1101163072805.txt,"{'Mabton': 1, 'Grandview': 12, 'Yakima': 5, 'Grandview High School': 1, 'Alderwood': 26, 'Prosser': 1, 'Seattle': 4}"
1101242678947.txt,"{'John Kerry': 3, 'U.S.': 3, 'Iraq': 1, 'America': 2, 'Bush': 14}"
1101162787426.txt,"{'Prosser': 1, 'Erica Mendez': 1, 'Alderwood': 8, 'Ellensburg': 4}"
1101162623703.txt,"{'Seattle': 1, 'Washington': 8}"
1101242497446.txt,"{'Alderwood City Council': 3, 'Rex Luthor': 1, 'Bruce Rinz': 1, 'Tom Seeger': 1}"
1101242563493.txt,"{'Kepcha': 14, 'Washington': 2, 'Dan Newhouse': 2, 'Alderwood': 2, 'GOP': 1}"
1101163197619.txt,"{'Mel Sacher': 2, 'Terry Bergeson': 1, 'Mabton': 3, 'Washington': 3, 'Alderwood School District': 2, 'Alderwood': 1}"
1101162788910.txt,"{'Grandview': 9, 'Grandview High School': 1, 'Alderwood': 2}"
1101162468967.txt,"{'Alderwood High School': 1, 'Ellie Olmsen': 1}"
1101243402764.txt,"{'Richland': 2, 'Alderwood': 2}"
1101243294357.txt,"{'Alderwood Valley': 1, 'Lower Valley': 1, 'Melissa Browning': 1, 'Yakima': 1, 'United States': 1, 'Alderwood': 2, 'Grandview': 1}"
1201243446504.txt,{'United States': 2}
1101162452967.txt,"{'Mel Sacher': 1, 'Alderwood': 1}"
1101163977242.txt,"{'FDA': 3, 'Mel Sacher': 1, 'Alderwood': 1, 'Laurel Sulfate': 1}"
1101162964241.txt,"{'United States': 1, 'Palacios': 3, 'John Panni': 1, 'Washington': 1}"
1101163002039.txt,"{'Washington': 2, 'Alderwood': 1}"
1101242808401.txt,"{'Alderwood High School': 1, 'Alderwood City Council': 1, 'Alderwood': 1, 'Rex Luthor': 1}"
1101242429898.txt,"{'Ellie Olmsen': 1, 'Grandview': 5, 'Chante Bottineau': 1, 'Tonhya Wysong': 1, 'Yakima': 1, 'Valentina Solis': 1, 'Danelle Cowan': 1, 'Kealey Johnston': 1, 'LaFever': 4, 'John LaFever': 1, 'Angie Cabrera': 1, 'Mari Cornejo': 1}"
1101163941150.txt,"{'Albert Smith': 1, 'Alderwood': 1}"
1101162787910.txt,"{'Yakima': 2, 'Alderwood High School': 1, 'Alderwood': 3}"
1101163572132.txt,"{'United States': 1, 'U.S.': 1, 'Washington': 1, 'Ellie Olmsen': 1}"
1101162770925.txt,"{'Ellie Olmsen': 1, 'Grandview': 2, 'LaFever': 7, 'Lady Vikings': 1, 'Tonhya Wysong': 1, 'Ellensburg': 3, 'Valentina Solis': 1, 'Danelle Cowan': 1, 'Kealey Johnston': 1, 'Chante Bottineau': 1, 'John LaFever': 1, 'Angie Cabrera': 1, 'Mari Cornejo': 1}"
1101162769191.txt,"{'Yakima Valley': 1, 'Alderwood': 1}"
1101162453655.txt,{'Alderwood': 3}
1101242634728.txt,"{'John Kerry': 1, 'Kerry': 4, 'Dino Rossi': 1, 'Christine Gregoire': 1, 'Alderwood Republican Club': 3, 'Washington': 2, 'Patty Murray': 1, 'George Nethercutt': 1, 'Bush': 4, 'Murray': 1, 'GOP': 1, 'Ellie Olmsen': 1}"
1101163941154.txt,{'Albert Smith': 1}
1101162641766.txt,"{'Alderwood School District': 1, 'Grandview': 1, 'John Hughes': 1, 'Bickleton': 2, 'Alderwood School Board Briefs Date Published': 1, 'Alderwood School Board': 9, 'Alderwood': 1, 'Spokane': 2, 'Alderwood High School': 1}"
1101162488420.txt,"{'United States': 1, 'Washington': 9, 'Ellie Olmsen': 1, 'Yakima County': 9}"
1101162624171.txt,"{'Alderwood High School': 1, 'Seattle': 1, 'Washington': 1, 'WASL': 3, 'Alderwood': 3}"
1101162769956.txt,{'Mel Sacher': 1}
1101162707205.txt,"{'Grandview': 3, 'Tonhya Wysong': 1, 'Jessica Gonzalez': 1, 'Valentina Solis': 1, 'Danelle Cowan': 1, 'Ellie Olmsen': 1, 'LaFever': 7, 'Kealey Johnston': 1, 'John LaFever': 1, 'Angie Cabrera': 1, 'Mari Cornejo': 1}"
1101242657853.txt,"{'Richland': 1, 'Alderwood Republican Club': 1, 'Yakima': 3, 'Washington': 1, 'Ellie Olmsen': 1, 'Alderwood County': 2}"
1101242543258.txt,"{'John Kerry': 1, 'Bush': 1, 'Kerry': 1, 'Ellie Olmsen': 1}"
1101162622968.txt,"{'John Kerry': 1, 'Kerry': 3, 'Congress': 3, 'U.S.': 2, 'Washington': 1, 'Bush': 1, 'America': 1}"
1101163932216.txt,"{'Ellie Olmsen': 1, 'Alderwood': 1, 'George Prado': 1}"
1101162691111.txt,"{'Yakima County': 2, 'Granger': 2}"
1101163520244.txt,"{'Cruz': 1, 'Stacey Gorski': 1, 'America': 1, 'Alderwood': 5, 'Alderwood High School': 1}"
1101163498744.txt,"{'Terry Bergeson': 1, 'Lower Valley': 2, 'Melissa Browning': 1, 'Washington': 2, 'WASL': 4, 'Alderwood': 1}"
1101162881272.txt,"{'Alderwood School District': 1, 'Dennis Birr': 1, 'Alderwood High School': 1, 'Alderwood School Board': 6, 'Washington': 1, 'Aaron Bones': 2, 'Gary Vegar': 1, 'Kilian': 1, 'WASL': 2, 'Dave Plesha': 1, 'Plesha': 2}"
1101162606483.txt,"{'Mel Sacher': 2, 'Bruce Chandler': 1, 'Yakima County': 1, 'Washington': 2, 'Alderwood School District': 1, 'WASL': 4, 'Dan Newhouse': 1}"
1101242614806.txt,"{'Ellie Olmsen': 1, 'Grandview': 4, 'Chante Bottineau': 1, 'Tonhya Wysong': 1, 'Valentina Solis': 1, 'Danelle Cowan': 1, 'Kealey Johnston': 1, 'LaFever': 11, 'John LaFever': 1, 'Mari Cornejo': 1}"
1101162880756.txt,"{'Grandview': 4, 'Yakima County': 4, 'Don Stiles': 2, 'Alderwood High School': 1, 'Yakima Valley': 1, 'U.S. Senate': 1, 'Grandview High School': 1, 'Alderwood': 4, 'John LaFever': 1, 'Carol Stone': 2}"
1101163324807.txt,"{'Mabton': 1, 'Calif.': 2, 'Grandview': 3, 'Wapato': 3, 'Washington': 1, 'Yakima': 5, 'Yakima Valley': 1, 'Alderwood': 4, 'Prosser': 3, 'Alderwood High School': 1}"
1101162686673.txt,"{'Rockford': 4, 'Jim Sarducci': 1, 'Grandview': 1, 'Tom Rockford': 1, 'John Torch': 1, 'Rex Luthor': 1, 'Martinez': 2, 'Raul Martinez': 1, 'Zillah': 1, 'Nelson': 2, 'Alderwood': 10, 'Jennie Angel': 1, 'Monson': 9, 'Bruce Rinz': 1, 'Tom Seeger': 1}"
1201243446615.txt,{}
1101162469951.txt,"{'Alderwood School District': 1, 'John Panni': 2, 'Alderwood School Board': 1, 'George Greenway': 1, 'Aaron Bones': 1, 'Alderwood': 2, 'Jennie Angel': 1, 'Alderwood Public Library': 1, 'Alderwood City Council': 2}"
1101242963292.txt,"{'Mabton': 1, 'Lynnwood': 1, 'Calif.': 4, 'Yakima': 4, 'Alderwood': 3, 'Seattle': 1, 'Alderwood High School': 1}"
1101163307182.txt,"{'Alderwood High School': 1, 'John Panni': 1, 'Grizzlies': 8, 'Alderwood': 4}"
1101243272357.txt,"{'Yakima': 1, 'Washington': 1, 'Alderwood': 2, 'Alderwood County': 4}"
1101164682719.txt,"{'Seattle': 1, 'Alderwood': 2, 'George Prado': 1}"
1101163853185.txt,"{'City Council': 1, 'Yakima': 1, 'Alderwood': 6, 'Alderwood City Council': 1}"
1101162452451.txt,"{'Mabton': 5, 'Calif.': 1, 'Grandview': 5, 'Mexico': 1, 'Yakima': 1, 'Alderwood': 4, 'Prosser': 2, 'Seattle': 3}"
1101163941144.txt,{'Albert Smith': 1}
1101162768659.txt,"{'Alderwood School District': 1, 'John Hughes': 1, 'Alderwood School Board': 1, 'Washington': 1, 'Aaron Bones': 1, 'Gary Vegar': 1, 'Ellie Olmsen': 1, 'Alderwood': 3}"
1101243446514.txt,"{'Mabton': 1, 'Grandview': 5, 'Mexico': 3, 'Grandview High School': 1, 'Alderwood': 10, 'Prosser': 2, 'Seattle': 1}"
1101163941130.txt,{'Albert Smith': 1}
1101163461838.txt,"{'Alderwood School District': 1, 'Lynnwood': 1, 'John Panni': 1, 'Tom Denchel Ford': 3, 'Yakima': 2, 'Alderwood School Board': 1, 'Aaron Bones': 1, 'Kilian': 1, 'Alderwood': 1, 'Dave Plesha': 1, 'Plesha': 2}"
1101163595600.txt,"{'Laurel Sulfate': 1, 'John Panni': 1, 'Washington': 1, 'Alderwood': 1, 'Rex Luthor': 1}"
1101163852029.txt,"{'Alderwood School District': 4, 'Mabton': 2, 'Washington': 1, 'Ella Mae Lochner': 1, 'Alice Benedetti': 1, 'Phyllis Morris': 1}"
1101163144775.txt,"{'Tom Seeger': 1, 'George Greenway': 1, 'Alderwood': 3, 'Rex Luthor': 1}"
1101242786744.txt,"{'Bruce Epps Theresa Hancock': 1, 'John Panni': 1, 'Rex Luthor': 1, 'Raul Martinez': 1, 'Cruz': 1, 'Alex de la Cruz': 1, 'Wade Drysdale': 1, 'Ellie Olmsen': 1, 'Alderwood': 2, 'Carol Stone': 1, 'Alderwood City Council': 5}"
1101242384726.txt,"{'America': 6, 'Washington': 2, 'Mexico': 1}"
1101163477635.txt,"{'Mabton': 5, 'Calif.': 1, 'Spokane': 2, 'Mexico': 4, 'Yakima Valley': 1, 'Alderwood High School': 1, 'Washington': 1, 'Jesus': 1, 'Zillah': 1, 'Alderwood': 14, 'Prosser': 8, 'Grandview': 2, 'Yakima': 1}"
1101243183934.txt,"{'Jamie Smart': 1, 'Alderwood Public Library': 1, 'Alderwood': 11}"
1101242614337.txt,"{'Lower Valley': 1, 'Alderwood Inc.': 3, 'Alderwood': 5}"
1101163253588.txt,"{'Mel Sacher': 1, 'Joe Schwartz': 1, 'Alderwood High School': 2, 'Martinez': 2, 'Alderwood': 3, 'Erica Mendez': 1, 'Plesha': 1}"
1101242406226.txt,"{'Rockford': 14, 'John Panni': 1, 'Alderwood City Council': 1, 'Tom Rockford': 1, 'John Torch': 2, 'Rex Luthor': 1, 'Alderwood': 3, 'Alderwood County': 1, 'Jennie Angel': 1, 'Iraq': 5, 'Tom Seeger': 1}"
1101162807895.txt,"{'Alderwood': 1, 'Yakima County': 1}"
1101163444463.txt,"{'Spokane': 1, 'Washington': 2, 'Zillah': 1, 'Alderwood': 16, 'Prosser': 3, 'Grandview': 4, 'Seattle': 1}"
1101162687439.txt,"{'Alderwood School District': 1, 'Kerry': 1, 'Don Stiles': 1, 'Yakima': 1, 'Dennis Birr': 1, 'Washington': 1, 'Bush': 1, 'Alderwood': 4}"
1101163128915.txt,"{'Mabton': 2, 'Alderwood High School': 1, 'Lady Vikings': 2}"
1201243446501.txt,{'Washington': 1}
1101163941148.txt,"{'Albert Smith': 1, 'Alderwood': 1}"
1101242519290.txt,"{'Mel Sacher': 1, 'Alderwood County': 1}"
1101162433811.txt,"{'John Panni': 2, 'Steve Evans': 1, 'Dino Rossi': 1, 'Christine Gregoire': 1, 'Alderwood High School': 1, 'Bob Story': 1, 'Washington': 3, 'Ella Mae Lochner': 1, 'Alice Benedetti': 1, 'Alderwood': 9, 'Phyllis Morris': 1, 'Alderwood City Council': 1}"
1101162966523.txt,"{'Wapato': 1, 'Washington': 2, 'Yakima': 1, 'Yakima Valley': 5, 'United States': 5, 'Ellie Olmsen': 1, 'America': 1}"
1101163726024.txt,"{'Mel Sacher': 1, 'Alderwood': 1, 'Rex Luthor': 1}"
1101163004554.txt,"{'Mel Sacher': 1, 'Alderwood': 3}"
1101243315873.txt,"{'Lower Valley': 2, 'Mexico': 2, 'U.S.': 1, 'Washington': 1, 'United States': 2, 'Hart': 1}"
